UPLINK: CDN - Walker Hall,40.346685,-74.653631,rx,9331665,5668762,4330645,4096577,3349453,3029450,3842610,2379865,2286936,1476675,3364111,3025199,4242944,4505718,11315142,10653035,12134747,13688861,17275852,15970351,23016848,19224189,17431271,22819452,18577396,10393233,11069425,4873826,3231763,2997071,3024320
UPLINK: CDN - Center for Jewish,40.346718,-74.656582,rx,854736,93529,147010,92821,88249,88230,97679,155290,90601,99482,324649,234766,265725,350907,338120,311327,135559,153654,166992,981735,225867,264736,245514,183984,145542,122030,121092,109872,100098,96519,108171
UPLINK: CDN - Lockhart Hall,40.345817,-74.65654,rx,19104762,10122077,6467668,3909126,1590512,1114619,1051959,979024,2151480,5610681,7977186,9143143,8627251,13533639,15345631,16224420,21119839,21228678,16715972,9227520,14339607,22793444,22809787,20649688,19904114,14343802,15488808,8628841,8042125,6153843,3569616
UPLINK: CDN - Feinberg Hall,40.345208,-74.655773,rx,5579603,2379844,1485312,589314,555058,478663,479602,491968,480026,684948,1071836,2611354,2912541,3257755,5448970,7806027,6050397,3389235,6129831,4848896,4760742,9021806,9846963,7747705,4999367,6024101,5706815,3502069,2540567,1578755,2123566
UPLINK: CDN - 1927/Clapp Hall,40.344775,-74.656991,rx,7297502,5071621,2183223,1051485,785104,1026286,1131920,608954,529067,705459,3657898,3123536,3873918,4010736,9528476,11680537,10654368,8478799,5217769,6935530,8425121,12055938,14326180,18025715,16328608,12267229,11045628,5774395,5825250,6691233,2514655
UPLINK: CDN - Class of 1915 Hall,40.344702,-74.656545,rx,6157027,7505360,5596119,2943192,1842733,1166041,792093,885793,939328,1473475,3906684,5767702,8025939,6542760,8603431,8288729,7678347,12507762,9061952,15327782,8780968,12348162,14870409,10145458,9051398,11359722,9842204,4295299,3707157,4058626,1884963
UPLINK: CDN - Wu Hall,40.346747,-74.658675,rx,670585,220108,195726,95171,96086,92847,384725,83799,80738,92415,275832,1354053,1812602,1671493,1883296,1187258,845798,1975921,2610571,4265944,5171547,3503068,2725426,1428235,1408902,1244970,726365,181170,231653,103744,405333
UPLINK: CDN - Dod Hall,40.348355,-74.660629,rx,21520271,17599654,28084043,48193406,12817390,18904896,2179437,2026881,2818944,3793529,5110815,9679377,21991203,16624242,21823928,54252928,67282951,27944275,20398077,26777627,23402536,28287028,58309157,42589907,33651969,37067633,24683542,13337408,10341495,6328416,4672534
UPLINK: CDN - Alexander Hall,40.348712,-74.653484,rx,168732,65563,68749,68198,69494,64262,67912,99162,68617,103686,112468,120003,173115,352759,250851,300523,310624,394898,495395,2300540,1563993,340867,405445,306166,268587,269229,197885,57894,60624,57794,83275
UPLINK: CDN - Bendheim Ctr for F,40.346307,-74.660997,rx,15025184,8631383,6965691,465532,404532,367887,676334,363549,278700,1005059,9943385,11344860,4293556,5100979,11668687,12064248,7144411,16575612,11041169,5387504,2871004,1922633,6373156,2820584,7811598,8841924,4494564,472083,296855,286557,690590
UPLINK: CDN - Foulke Hall,40.345127,-74.656718,rx,12062480,7688020,5652908,4467481,1499202,1064256,1121072,2713498,1266804,3093393,9755527,2356296,4557245,10566362,9035494,12389054,10178774,14111553,11418722,36334069,23383297,37064760,26553475,30564701,32823028,27149836,16933782,11814554,8031169,5586369,5154228
UPLINK: CDN - Gauss Hall,40.344979,-74.655407,rx,1105675,738402,1031074,590280,619589,595525,568659,566853,515896,965654,1131102,981334,1653834,5679330,7200661,5197678,8910190,5058635,5741727,11666685,11230938,10201929,14182719,12145579,15996511,7848956,4150984,2863462,1614306,1642802,2327024
UPLINK: CDN - Class of 1938 Hall,40.3455,-74.655806,rx,11865341,7423762,4401058,2086205,2257757,2453645,2456203,2270130,2067364,2749277,2912624,2917572,4073190,6506974,6893506,6645321,11966999,8598109,10224376,13871437,17070305,18363861,19346707,15435476,15390001,13752706,10967439,5258594,3339101,3758265,2214557
UPLINK: CDN - Dodge-Osborne Hall,40.345858,-74.656244,rx,12762314,8704182,3617840,6247045,6255275,4898467,1025702,1692236,1140356,1871484,2206606,2724614,3671350,5106476,8710179,11093471,12498732,19977139,15321651,11795379,14416449,16815664,20654490,21128389,19418887,13144572,12315589,12702214,5860800,2862268,3525168
UPLINK: CDN - Class of 1937,40.346433,-74.655946,rx,9624329,13451199,3934015,4413882,2488165,1057850,1121636,1129836,1913139,2013140,4672467,5383474,8245875,13233454,13217429,12650497,13035064,18434007,19731488,20151669,30356024,23834291,27119696,27005031,24625291,22024203,23879672,9556300,3911087,3619253,2195830
UPLINK: CDN - Jones Hall,40.347662,-74.654524,rx,535235,432798,298990,290227,271645,243684,264478,972053,237909,387270,615412,642585,990029,1005929,1009964,1538181,1482038,1994087,1832840,2037441,4587172,2984422,1961886,1639916,1284646,783626,593025,440876,339785,333327,381850
UPLINK: CDN - Campus Club,,,rx,392393,84243,132730,87236,80571,81097,373505,80129,81847,84667,163433,296450,693259,148786,980506,1501165,2946908,1692208,2436242,4236287,3337465,4100586,3336156,2028082,439261,128857,127433,108959,1089227,290544,402017
UPLINK: CDN - Blair Hall / Buyers Hall,,,tx,2527469,2312713,986365,530645,608414,441807,351262,316350,369625,1402026,1256123,1535695,3165527,2775391,3954365,3073252,3821490,3210833,3081704,6720153,4708962,8310764,10216678,10379773,4189193,5000488,3164313,1608368,701667,393361,386686
